Provincia;Regiones.x;Porcet-Sitieneseguro;Sitiene-acc-internet;Porcen-Sisabeleeryescrib;Porcet-accesoagua;Porc-votosV.Mendoza
 Cutervo;Cajamarca;86.29755722;3.730386137;79.25136945;81;8.15
 Hualgayoc;Cajamarca;73.97233912;4.051449475;74.48959046;78;7.36
 Jaén;Cajamarca;68.04381121;8.648903116;84.55192845;88;9.99
 San Ignacio;Cajamarca;81.35890369;2.100005371;81.85084989;84;14.57
 San Marcos;Cajamarca;81.14462715;2.59940892;78.09643108;85;5.4
 San Miguel;Cajamarca;82.92465739;1.626385019;83.04183891;92;4.51
 San Pablo;Cajamarca;84.97298834;3.078329778;79.10171863;86;3.61
 Santa Cruz;Cajamarca;78.23431278;2.210562532;82.29337094;81;9.71
Callao;Callao;31.46;44.2;92.87;94;9.59
 Acomayo;Cusco;83.10810811;0.908455625;78.351408;92;51.53
 Anta;Cusco;71.2450628;5.68358209;82.18828562;81;43.73
 Calca;Cusco;73.14701924;5.472480193;79.71787775;90;39.09
 Canas;Cusco;86.07930058;0.513970657;79.28171462;92;55.63
 Canchis;Cusco;63.22801595;15.03794435;83.97738086;93;51.66
 Chumbivilcas;Cusco;81.5193495;1.076735001;77.93572993;75;31.65
 Cusco;Cusco;31.97762228;36.94673283;91.62235228;86;28.65
 Espinar;Cusco;56.35267966;4.512258738;85.07560935;86;34.5
 La Convención;Cusco;63.28458423;4.544604014;84.9226694;92;40.59
 Paruro;Cusco;86.52559941;1.036585366;75.45558552;86;41.06
 Paucartambo;Cusco;85.11904762;1.526592252;73.59721944;88;43
 Quispicanchi;Cusco;76.1832323;5.282759179;78.40269285;88;37.8
 Urubamba;Cusco;53.17012134;12.75578157;85.11574716;82;38.31
 Acobamba;Huancavelica;88.11767169;2.682090831;77.02247501;79;42.46
 Angaraes;Huancavelica;75.41813157;3.403599692;77.45680927;86;38.03
 Castrovirreyna;Huancavelica;78.79416393;0.574822763;84.90580256;92;24.76
 Churcampa;Huancavelica;84.47353863;1.133741346;76.61230181;87;38.42
 Huancavelica;Huancavelica;71.64114242;10.82789193;82.6314873;90;41.24
 Huaytará;Huancavelica;77.76424885;0.607810363;83.63890238;85;20.85
 Tayacaja;Huancavelica;85.57669865;2.540536202;79.17523906;86;44.19
 Ambo;Huánuco;75.50707547;5.502488901;79.63337996;78;17.62
 Dos De Mayo;Huánuco;80.80161164;1.7727639;81.34579915;87;27.35
 Huacaybamba;Huánuco;84.44202767;0.791139241;77.71659089;83;36.14
 Huamalíes;Huánuco;83.78139472;1.479519318;82.78868431;86;26.83
 Huánuco;Huánuco;54.36456405;17.452947;84.72931728;84;19.17
 Lauricocha;Huánuco;74.98545974;1.215370867;87.60988094;81;38.92
 Leoncio Prado;Huánuco;59.83426322;16.92381328;85.95884189;85;17.85
 Marañón;Huánuco;82.49943656;0.942887931;79.20712944;85;44.61
 Pachitea;Huánuco;83.87070526;2.732474964;73.41772152;85;23.16
 Puerto Inca;Huánuco;64.61060913;1.490530091;83.74249324;85;16.67
 Yarowilca;Huánuco;90.63175353;0.930587338;78.09136949;87;44.59
 Chincha;Ica;25.56907387;22.23136687;91.31644251;56;17.73
 Ica;Ica;28.33553416;32.64305576;92.23926034;71;12.81
 Nazca;Ica;39.17029368;22.21428911;90.98685012;87;15.58
 Palpa;Ica;54.06590085;8.788878417;89.3814433;58;12.28
 Pisco;Ica;34.03850236;25.84474886;90.73604954;70;16.36
 Chanchamayo;Junín;54.08907577;9.174910072;87.29276761;91;12.5
 Chupaca;Junín;45.45368763;7.344859938;88.59029789;83;25.11
 Concepción;Junín;55.9568995;9.14348329;86.64329702;89;15.77
 Huancayo;Junín;35.15867416;26.82033277;90.54174555;83;20.73
 Jauja;Junín;53.59309127;8.338932142;88.50036503;86;19.82
 Junín;Junín;57.76596205;5.201474849;84.98133479;94;16.4
 Satipo;Junín;68.00990269;4.187239254;83.33879822;88;19.1
 Tarma;Junín;52.66882465;13.09610617;88.05704309;88;8.75
 Yauli;Junín;21.04728893;17.16516178;92.91633322;88;12.21
 Ascope;La Lbertad;35.43606308;26.59225627;90.1602599;78;9.69
 Bolívar;La Lbertad;77.69938438;1.509153884;82.52240243;88;11.01
 Chepén;La Lbertad;50.72049784;17.14044969;88.60385135;92;8.36
 Gran Chimú;La Lbertad;72.1924736;3.241613268;84.45272656;62;5.35
 Julcán;La Lbertad;87.04324864;2.376193649;82.37689322;63;10.75
 Otuzco;La Lbertad;74.12088053;2.074240346;82.0083682;87;8.39
 Pacasmayo;La Lbertad;47.47077174;22.68419444;89.16026008;74;7.04
 Pataz;La Lbertad;62.05274431;2.601875894;80.25678362;79;14.39
 Sánchez Carrión;La Lbertad;79.56234202;3.81420231;75.35762765;67;5.19
 Santiago de Chuco;La Lbertad;74.8270984;2.659796686;83.1362371;69;10.28
 Trujillo;La Lbertad;31.55947943;41.58765548;91.33745304;85;8.34
 Virú;La Lbertad;33.54707335;12.81927922;85.46857083;64;11.49
 Chiclayo;Lambayeque;39.71550943;35.74528487;90.99251835;94;9.29
 Ferreñafe;Lambayeque;66.90345429;14.95220487;83.22265476;91;10.37
 Lambayeque;Lambayeque;59.101176;13.89618178;86.40262523;85;8.22
 Barranca;Lima;49.39223305;27.21384425;89.88435097;86;14.23
 Cajatambo;Lima;70.95593841;1.073825503;86.23649078;92;13.26
 Canta;Lima;59.59473502;3.946706888;90.19182048;81;17.49
 Cañete;Lima;42.70060372;21.94436556;91.08609085;80;12.05
 Huaral;Lima;46.13535764;27.55655113;90.46678615;87;12.58
 Huarochirí;Lima;49.94410525;11.64430685;91.29894456;86;15.44
 Huaura;Lima;39.56343193;30.74482737;91.02040061;88;14.82
 Lima;Lima;27.23223417;49.75917076;93.39647049;92;10.06
 Oyón;Lima;32.79779018;6.412997007;88.73247767;93;13.89
 Yauyos;Lima;57.79211259;0.320232897;90.75340731;90;21.82
 Alto Amazonas;Loreto;76.91749847;8.152642283;82.44969686;77;17.13
